Business Name,City,State,Phone,Email,Website,Instagram,Facebook,Google Rating,Review Count,Services,Owner/Manager Name,Visible Weaknesses,Source
Bloom Aesthetics Studio,Irvine,CA,949-555-0142,hello@bloomaesthetics.example,https://bloomaesthetics.example,https://instagram.com/bloomaesthetics.example,https://facebook.com/bloomaesthetics.example,4.8,38,"Botox; Dermal fillers; Laser skin resurfacing",Business Owner,"No online booking visible; No SMS follow-up visible; No chatbot",sample_csv
Nova Glow Med Spa,Phoenix,AZ,602-555-0198,,https://novaglow.example,https://instagram.com/novaglow.example,,4.6,82,"Hydrafacial; Microneedling; Semaglutide program",Clinic Manager,"Slow website; Inactive Instagram",sample_csv
Radiant Line Aesthetics,Austin,TX,512-555-0114,,https://radiantline.example,https://instagram.com/radiantline.example,,4.9,22,"Injectables; PDO threads; RF microneedling",Business Owner,"No chatbot; Manual follow-up; No online booking visible",sample_csv
Pearl Skin Lounge,San Diego,CA,619-555-0166,,https://pearlskin.example,,https://facebook.com/pearlskin.example,3.9,17,"Facials; Chemical peels",Manager,"Outdated website; No SMS follow-up visible",sample_csv
Contour & Co Med Spa,Denver,CO,303-555-0180,,https://contourco.example,https://instagram.com/contourco.example,,4.7,44,"CoolSculpting; Body contouring; Laser hair removal",Business Owner,"Booking not visible; No live chat; Weak follow-up",sample_csv
Luma Laser Clinic,Portland,OR,503-555-0119,,https://lumalaser.example,,,4.2,61,"Laser treatments; Skin tightening",Clinic Manager,"Inactive Instagram",sample_csv
Muse Injectable Bar,Las Vegas,NV,702-555-0137,,https://museinjectable.example,https://instagram.com/museinjectable.example,,4.5,29,"Botox; Fillers; PRP",Business Owner,"No online booking visible; Slow website; No SMS follow-up visible",sample_csv
Everwell Beauty Lab,Nashville,TN,615-555-0108,,https://everwellbeauty.example,,,4.1,12,"Wellness shots; Facials",Manager,"No chatbot; Manual booking",sample_csv
Serene Skin Collective,Charlotte,NC,704-555-0155,,https://sereneskin.example,https://instagram.com/sereneskin.example,,4.8,113,"Hydrafacial; Laser hair removal; Botox",Business Owner,"No visible weakness",sample_csv
Vivid Renewal Med Spa,Tampa,FL,813-555-0126,,https://vividrenewal.example,https://instagram.com/vividrenewal.example,,4.4,47,"Laser resurfacing; Microneedling; Weight loss",Clinic Manager,"No online booking visible; No chatbot; Weak website; No SMS follow-up visible",sample_csv
